0, value, target
636,633.979,635.881
637,633.898,635.8
638,633.816,635.717
639,633.733,635.634
640,633.65,635.551
641,633.649,635.55
642,633.647,635.548
643,633.647,635.548
644,633.646,635.547
645,633.646,635.547
646,633.645,635.546
647,633.645,635.546
648,633.644,635.545
649,633.645,635.545
650,633.644,635.545
651,633.644,635.545
652,633.644,635.545
653,633.645,635.546
654,633.645,635.546
655,633.645,635.546
656,633.663,635.564
657,633.682,635.583
658,633.701,635.603
659,633.677,635.578
660,633.667,635.568
661,633.657,635.558
662,633.661,635.562
663,633.677,635.578
664,633.697,635.599
665,633.718,635.619
666,633.784,635.686
667,633.865,635.767
668,633.947,635.849
669,634.03,635.932
670,634.112,636.014
671,634.113,636.015
672,634.114,636.017
673,634.114,636.017
674,634.114,636.017
675,634.1,636.002
676,634.085,635.987
677,634.007,635.909
678,633.929,635.831
679,633.851,635.753
680,633.773,635.675
681,633.695,635.596
682,633.617,635.517
683,633.538,635.439
684,633.46,635.361
685,633.382,635.282
686,633.305,635.204
687,633.305,635.205
688,633.304,635.204
689,633.348,635.248
690,633.392,635.293
691,633.436,635.337
692,633.471,635.372
693,633.515,635.416
694,633.559,635.46
695,633.603,635.504
696,633.603,635.504
697,633.603,635.504
698,633.603,635.504
699,633.603,635.504
700,633.603,635.504
701,633.603,635.504
702,633.603,635.504
703,633.603,635.504
704,633.603,635.504
705,633.616,635.517
706,633.629,635.53
707,633.706,635.607
708,633.78,635.682
709,633.855,635.757
710,633.926,635.828
711,633.997,635.899
712,634.074,635.976
713,634.145,636.047
714,634.223,636.125
715,634.3,636.203
716,634.378,636.281
717,634.377,636.281
718,634.377,636.28
719,634.372,636.275
720,634.361,636.265
721,634.351,636.254
722,634.352,636.255
723,634.344,636.247
724,634.344,636.247
725,634.343,636.246
726,634.342,636.245
727,634.336,636.239
728,634.331,636.234
729,634.327,636.23
730,634.317,636.22
731,634.307,636.21
732,634.298,636.2
733,634.288,636.19
734,634.278,636.18
735,634.269,636.172
736,634.261,636.164
737,634.252,636.155
738,634.245,636.148
